Race	Semaine	Cap augm poids	Sakafo necessaire			Prix d'achat	prix de vente	Nb jour foy	Prix sakafo	Prix atody
borbonèze	Poids init	50	0		Borbonèze	500	15	30	5	500
	S1	20	75							
	S2	25	80							
	S3	30	100							
	S4	40	150							
	S5	80	170							
	S6	85	190							
	S7	100	200							
	S8	100	250							
	S9	90	270		Lot 1	01/01/2026	500			
	S10	140	290		Maty	01/02/2026	15			
	S11	200	300		Nahazo atody	02/02/2026	100			
	S12	220	370		Nahazo atody	15/02/2026	150			
	S13	265	390							
	S14	285	350							
	S15	300	300							
	S16	350	450							
	S17	400	500							
	S18	420	400							
	S19	430	500							
	S20	500	500							
	S21	530	650							
	S22	600	600							
	S23	400	750							
	S24	100	750							
	S25	0	600							
